"barcode","inStock","regularPrice","salePrice","purchasePrice","name"
"8901526407774","125","775","765","600","Loreal Professional Dia Activateur 20 Vol. 6% Developer 1000ML"
"8903380024852","320","189","149","90","FACES CANADA Magnet Eyes Kajal"
"7612472021020","100","825","799","650","Chambor Orosa Flawless Finish Make up Concealer"
"8906129572096","256","449","359","275","mCaffeine Coffee Body Scrub - With Berries, 200 g"
"8904320729141","366","299","269.1","190","SUGAR POP Full Coverage Concealer - Water Proof, Long-Lasting, Easy To Blend, 4 ml 02 Walnut"
"8906045481533","546","580","145","100","Coloressence Kajal Pencil, 0.25 g"
"3499320012065","357","1,990.00","1,493.00","1150","Cetaphil Sun Kids SPF 50+ Very High Protection Liposomal Lotion - For Dry, Sensitive Baby's Skin, 150 ml"
"8906129572096","254","449","404","300","mCaffeine Coffee Body Scrub - With Berries, 200 g"
"8906120589550","545","395","277","200","Pilgrim 2% Niacinamide Glow SunScreen SPF50, 50 g"
"8904409734745","144","119","109","75","Swiss Beauty Kiss Kandy Lip Balm With Olive Oil, 10 ml Mulberry"
"8904320756567","245","199","179","130","SUGAR POP Ultrastay Transferproof Lipstick 05 Rustic Rose - 4 gms"
"8906005274113","120","1,159","1,089","850","Cetaphil Gentle Skin Cleanser 500ml"
"8901030833939","566","296","278","200","Dove Care & Protect Beauty Bathing Bar, 100 g (Pack of 4)"
"40147937","556","209","177","130","Garnier Color Naturals Crème Riche Nourishing Permanent Hair Color - No Ammonia, 70 ml + 60 g"
"8904086397004","136","1750","1,295","1000","Vega ease curl hair curler-19 MM (VHCH-01)"
"8906036215130","456","545","395","300","Oshea Uvshield Mattifying Gel Cream Spf 45 Pa+++ 120g"
"8906036218322","361","145","116","85","Oshea Herbals Apricot Scrub Aprifresh 120g"
"890600767011","54","325","243","175","jovees herbal 24 carat gold eye contour gel 20g"
"8906007675581","154","235","176","130","jovees eye contour cream 20g"
"8901526101504","264","379","320","240","L'Oreal Paris Total Repair 5 Repairing Shampoo, 340 ml"
"3474636730841","254","620","580","500","LOreal Professionnel Serie Expert Absolut Repair Lipidium Serum, 50 ml"
"8901247577503","813","300","255","180","Streax Professional Vitariche Care Smooth & Shine Leave-In Conditioner - With Aloe Vera, For Normal To Dry Hair, 100 ml"
"890147575646","464","350","280","210","Streax Professional Vitariche Care Repair Max Hair Serum - With Vita-Oils, For Dry To Damaged Hair, 100 ml"
"8904409726313","546","429","322","250","Swiss Beauty Real Makeup Base Highlighting Primer - SB-1305, 30 ml Pink Tint"
"8904409711852","132","299","294","220","Swiss Beauty Precision Mascara - Thickening Long Lash, 10 ml Black"
"8906120586238","130","400","229","170","Pilgrim Patua Strengthening Hair Oil - With Argan & Avocado Oil, For Strong, Silky Hair, 115 ml"
"8904482501357","150","225","191","140","Pilgrim Spanish Rosemary Water Spray With Biotin for Hair Growth 100ml"
"8906129571365","145","149","119","80","Green Tea Sheet Mask with Niacinamide by mCaffeine for Unisex - 0.7 oz Mask"
"8906045488099","120","299","199","140","Coloressence Compact Powder Beige 10gm"
"8904409703789","660","449","599","450","Swiss beauty sb 880 pro blush highlight 18g"
"8904409700061","500","349","349","250","Swiss beauty f10 makeup brush powder brush "
"8906150343030","360","570","599","450"," Bellavita Rose Women eau de 100ml"
"8906150345867","225","1199","999","750","Bellavita LUXURY collection gift set 80ml"
"8901247577213","130","330","264","190","Streax Professional Developer For Argan Secret Colourant - 20 Volume 6% - 1000 Ml"
"8901526609130","136","800","752","600","Loreal Hair Spa Repairing Creambath 490G"
"8907122016587","258","1399","979","750","VLCC BRIDAL GLOW FACIAL KIT147G "
"8904352004155","369","240","204","150","Biotique morning nectar face wash 150ml"
"8904352004094","147","120","102","70","Biotique Honey soothe nourish foamimg face wash100ml"
"8906150343108","456","649","849","600","Bellavita perfume gift set for men 80ml"
